Genome,Genome ID,PATRIC ID,RefSeq Locus Tag,Gene,Product,Length (NT),Length (AA),ALN Length,Identity,Query cover,Subject cover,Hit from,Hit to,Score,E value
Moritella sp. JT01,756698.3,fig|756698.3.peg.3341,AKG98_3346,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",1737,578,578,61,96,99,4,573,711,0
Fischerella thermalis CCMEE 5201,2019672.3,fig|2019672.3.peg.1313,CEN39_28320,,"Polyketide synthase modules and related proteins",5346,1781,1781,23,79,24,1177,1606,77,2e-14
Deltaproteobacteria bacterium strain B30_G6,2026735.166,fig|2026735.166.peg.2288,DRH90_10210,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1515,504,504,23,52,56,154,437,76,3e-14
Chloroflexus aggregans DSM 9485,326427.4,fig|326427.4.peg.2618,Cagg_2527,,"Fatty-acid-CoA ligase FadD7",1515,504,504,27,45,49,155,400,75,6e-14
Janthinobacterium sp. CG3,1075768.5,fig|1075768.5.peg.618,,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1680,559,559,22,82,85,49,525,74,2e-13
Janthinobacterium sp. CG3,1075768.5,fig|1075768.5.peg.1427,,,"Propionate--CoA ligase (EC 6.2.1.17)",1908,635,635,25,53,48,231,536,73,4e-13
Alicyclobacillus kakegawensis NBRC 103104,1220571.3,fig|1220571.3.peg.2897,,,"Acetyl-CoA synthetase (EC 6.2.1.1)",1956,651,651,21,77,69,107,553,73,4e-13
Alicyclobacillus kakegawensis NBRC 103104,1220571.3,fig|1220571.3.peg.2395,,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1485,494,494,27,53,57,136,418,70,2e-12
Chloroflexus aggregans DSM 9485,326427.4,fig|326427.4.peg.3447,Cagg_3345,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1734,577,577,21,77,77,58,499,70,2e-12
Alicyclobacillus kakegawensis NBRC 103104,1220571.3,fig|1220571.3.peg.1542,,,"Acetyl-CoA synthetase (EC 6.2.1.1)",1959,652,652,20,69,62,117,519,70,3e-12
Candidatus Riflebacteria bacterium BY5,2268124.3,fig|2268124.3.peg.3204,OZSIB_3133,,"Lysophospholipid transporter LplT / 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) / Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20)",3441,1146,1146,27,47,23,735,996,71,3e-12
Epsilonproteobacteria bacterium strain B11_G4,2026809.16,fig|2026809.16.peg.1841,DRQ88_09140,,"hypothetical protein",2685,894,894,21,71,42,45,417,70,5e-12
Deltaproteobacteria bacterium strain B30_G6,2026735.166,fig|2026735.166.peg.2351,DRH90_10510,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1557,518,518,23,70,74,29,411,69,5e-12
Sedimentitalea sp. W43,2483033.3,fig|2483033.3.peg.4266,EBB79_19940,,"Benzoate--CoA ligase (EC 6.2.1.25)",1539,512,512,23,77,80,35,445,69,5e-12
Paeniglutamicibacter gangotriensis strain ANT_H27,254787.3,fig|254787.3.peg.595,FQ154_02875,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1689,562,562,24,58,56,178,491,69,6e-12
Fischerella thermalis CCMEE 5201,2019672.3,fig|2019672.3.peg.3120,CEN39_11735,,"Polyketide synthase modules and related proteins",7335,2444,2444,22,54,12,1728,2030,69,9e-12
Deltaproteobacteria bacterium strain B9_G4,2026735.148,fig|2026735.148.peg.1348,DRH30_06565,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1566,521,521,25,57,60,142,453,68,1e-11
Deltaproteobacteria bacterium strain B30_G6,2026735.166,fig|2026735.166.peg.3936,DRH90_17350,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1704,567,567,24,52,51,208,494,68,1e-11
Psychrobacter cibarius strain W1,282669.3,fig|282669.3.peg.2779,,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1515,504,504,23,71,74,27,398,68,1e-11
Sedimentitalea sp. W43,2483033.3,fig|2483033.3.peg.2651,EBB79_12370,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1560,519,519,23,51,55,159,443,67,1e-11
Desulfotalea psychrophila LSv54,177439.6,fig|177439.6.peg.597,DP0555,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1650,549,549,21,79,83,41,496,67,2e-11
